aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,0.20419563058589868,0.0,0.090450813769264,0.07189329863370209,0.04180866095918878,0.10197031244068189,0.20419563058589868,0.2946464443551627,0.27608892921960076,0.1623869696267099,0.30616594302658057,0.090450813769264,0.07189329863370209,0.04180866095918878,0.10197031244068189,0.01855751513556192,0.13225947472845279,0.011519498671417883,0.11370195959289087,0.030077013806979802,0.14377897339987067
ex02,0.41412213740458015,0.0,0.26799274510194726,0.11179759503689146,0.048377862595419874,0.15794191953492165,0.41412213740458015,0.6821148825065274,0.5259197324414716,0.4625,0.5720640569395018,0.26799274510194726,0.11179759503689146,0.048377862595419874,0.15794191953492165,0.1561951500650558,0.2196148825065274,0.11005082556702561,0.06341973244147159,0.04614432449803019,0.10956405693950177
ex03,0.0,0.0,0.19047619047619047,0.4838709677419355,0.39285714285714285,0.4838709677419355,0.0,0.19047619047619047,0.4838709677419355,0.39285714285714285,0.4838709677419355,0.19047619047619047,0.4838709677419355,0.39285714285714285,0.4838709677419355,0.29339477726574503,0.20238095238095238,0.29339477726574503,0.09101382488479265,0.0,0.09101382488479265
ex04,0.2462163267691229,0.0,0.0028121725369431583,0.055214839105348135,0.03352612684483447,0.12293000980901275,0.2462163267691229,0.24340415423217973,0.30143116587447105,0.27974245361395733,0.36914633657813567,0.0028121725369431583,0.055214839105348135,0.03352612684483447,0.12293000980901275,0.05802701164229129,0.03633829938177763,0.1257421823459559,0.021688712260513665,0.06771517070366462,0.08940388296417828
ex05,0.06745895613820141,0.022727272727272707,0.04480519480519479,0.1783494986026632,0.014805194805194821,0.17740380269382588,0.0447316834109287,0.1122641509433962,0.2458084547408646,0.08226415094339623,0.2448627588320273,0.0675324675324675,0.2010767713299359,0.03753246753246753,0.2001310754210986,0.1335443037974684,0.02999999999999997,0.1325986078886311,0.16354430379746837,0.0009456959088373074,0.16259860788863106
ex06,0.16049537980883793,0.0,0.04758881219823036,0.03888196418483281,0.1588133746966232,0.16401469247479655,0.16049537980883793,0.2080841920070683,0.19937734399367074,0.0016820051122147378,0.3245100722836345,0.04758881219823036,0.03888196418483281,0.1588133746966232,0.16401469247479655,0.00870684801339755,0.20640218689485357,0.1164258802765662,0.19769533888145602,0.12513272828996375,0.32282806717141976
ex08,0.44661588411588415,0.0,0.03551506809620397,0.08730158730158721,0.0037931839402427503,0.07933673469387748,0.44661588411588415,0.4821309522120881,0.5339174714174714,0.4504090680561269,0.5259526188097616,0.03551506809620397,0.08730158730158721,0.0037931839402427503,0.07933673469387748,0.05178651920538324,0.03172188415596122,0.0438216665976735,0.08350840336134446,0.007964852607709738,0.07554355075363473
ex09,0.13901689708141318,0.0,0.05360781867332087,0.1328197945845005,0.06076190476190474,0.20077156110953331,0.13901689708141318,0.19262471575473405,0.2718366916659137,0.07825499231950846,0.3397884581909465,0.05360781867332087,0.1328197945845005,0.06076190476190474,0.20077156110953331,0.07921197591117962,0.11436972343522561,0.14716374243621244,0.19358169934640523,0.06795176652503282,0.26153346587143805
ex10,0.05681818181818182,0.0,0.022727272727272735,0.6505840528186897,0.37982565379825656,0.5804195804195804,0.05681818181818182,0.07954545454545456,0.7074022346368715,0.4366438356164384,0.6372377622377622,0.022727272727272735,0.6505840528186897,0.37982565379825656,0.5804195804195804,0.6278567800914169,0.3570983810709838,0.5576923076923076,0.2707583990204331,0.07016447239910928,0.2005939266213238
ex12,0.21193610460431705,0.0011133350948666632,0.029714689832697566,0.29501505920297083,0.006379329540815548,0.32350444091269953,0.2108227695094504,0.1822214147716195,0.5069511638072879,0.2055567750635015,0.5354405455170166,0.028601354737830903,0.2961283942978375,0.005265994445948885,0.3246177760075662,0.3247297490356684,0.023335360291882018,0.3532191307453971,0.3013943887437864,0.0284893817097287,0.3298837704535151
ex13,0.09825581395348837,0.188149430974765,0.05791301721534281,0.07136569999073472,0.008195572989633026,0.07788922421445055,0.08989361702127663,0.15616883116883118,0.1696215139442231,0.09006024096385534,0.17614503816793892,0.2460624481901078,0.2595151309654997,0.17995385798513197,0.26603865518921554,0.013452682775391911,0.06610859020497584,0.019976206999107737,0.07956127298036775,0.006523524223715826,0.08608479720408357
ex14,0.06837606837606836,0.0,0.03190883190883198,0.004778248872737034,0.22735042735042732,0.03162393162393162,0.06837606837606836,0.10028490028490034,0.06359781950333132,0.15897435897435896,0.09999999999999998,0.03190883190883198,0.004778248872737034,0.22735042735042732,0.03162393162393162,0.036687080781569015,0.2592592592592593,0.0002849002849003579,0.22257217847769029,0.03640218049666866,0.25897435897435894
ex15,0.21080090618336889,0.0,0.09168709150326804,0.058156166518254726,0.11106150793650799,3.705533596831678e-05,0.21080090618336889,0.11911381468010085,0.15264473966511416,0.0997393982468609,0.2108379615193372,0.09168709150326804,0.058156166518254726,0.11106150793650799,3.705533596831678e-05,0.03353092498501331,0.01937441643323995,0.09172414683923635,0.05290534141825326,0.05819322185422304,0.1110985632724763
ex16,0.28465116279069763,0.0,0.03364670954972793,0.11201550387596904,0.1713178294573643,0.12972383720930236,0.28465116279069763,0.31829787234042556,0.39666666666666667,0.11333333333333334,0.414375,0.03364670954972793,0.11201550387596904,0.1713178294573643,0.12972383720930236,0.07836879432624111,0.20496453900709222,0.09607712765957444,0.2833333333333333,0.017708333333333326,0.30104166666666665
ex17,0.2039429637895111,0.0,0.10385964154299254,0.03772170130356717,0.09709320854090137,0.09127446505758857,0.2039429637895111,0.30780260533250364,0.24166466509307827,0.10684975524860972,0.29521742884709967,0.10385964154299254,0.03772170130356717,0.09709320854090137,0.09127446505758857,0.06613794023942537,0.2009528500838939,0.01258517648540397,0.13481490984446853,0.053552763754021404,0.18836767359848994
ex18,0.16942148760330578,0.0,0.03703703703703709,0.13436123348017626,0.12068965517241381,0.19444444444444442,0.16942148760330578,0.20645852464034287,0.30378272108348203,0.048731832430891964,0.3638659320477502,0.03703703703703709,0.13436123348017626,0.12068965517241381,0.19444444444444442,0.09732419644313917,0.1577266922094509,0.15740740740740733,0.25505088865259007,0.06008321096426816,0.31513409961685823
ex19,0.0,0.0,0.0,0.41666666666666674,0.33333333333333337,0.41666666666666674,0.0,0.0,0.41666666666666674,0.33333333333333337,0.41666666666666674,0.0,0.41666666666666674,0.33333333333333337,0.41666666666666674,0.41666666666666674,0.33333333333333337,0.41666666666666674,0.08333333333333337,0.0,0.08333333333333337
ex20,0.17096998550653103,0.0,0.03532705971924152,0.054604290806286676,0.09653528968839949,0.14400126775465363,0.17096998550653103,0.20629704522577255,0.2255742763128177,0.07443469581813156,0.3149712532611847,0.03532705971924152,0.054604290806286676,0.09653528968839949,0.14400126775465363,0.019277231087045155,0.13186234940764102,0.10867420803541211,0.15113958049468618,0.08939697694836696,0.24053655744305313
ex21,0.20336045732451652,0.0007167053084627117,0.016352880270920384,0.06059103730108012,0.17279075504979985,0.1460558148410937,0.2026437520160538,0.18700757705359614,0.26395149462559664,0.030569702274716653,0.3494162721656102,0.015636174962457672,0.06130774260954283,0.17207404974133717,0.1467725201495564,0.0769439175720005,0.1564378747788795,0.16240869511201408,0.23338179235087997,0.08546477754001358,0.31884656989089355
ex23,0.16592592592592598,0.0,0.04861788617886176,0.04571428571428571,0.15228070175438602,0.10343434343434343,0.16592592592592598,0.21454381210478773,0.21164021164021168,0.01364522417153996,0.2693602693602694,0.04861788617886176,0.04571428571428571,0.15228070175438602,0.10343434343434343,0.0029036004645760505,0.20089858793324777,0.054816457255481676,0.19799498746867172,0.05772005772005773,0.25571504518872945
ex24,0.19269481571254896,0.0,0.01422047789828107,0.01023998372991658,0.13435837350243757,0.05035510877953947,0.19269481571254896,0.17847433781426789,0.20293479944246554,0.05833644221011139,0.24304992449208843,0.01422047789828107,0.01023998372991658,0.13435837350243757,0.05035510877953947,0.02446046162819765,0.1201378956041565,0.06457558667782054,0.14459835723235415,0.04011512504962289,0.18471348228197704
ex25,0.23331466585208566,0.0,0.22506422140804094,0.1411765231410786,0.06396752751443827,0.22308371641459335,0.23331466585208566,0.4583788872601266,0.37449118899316425,0.1693471383376474,0.456398382266679,0.22506422140804094,0.1411765231410786,0.06396752751443827,0.22308371641459335,0.08388769826696235,0.2890317489224792,0.001980504993447596,0.20514405065551686,0.08190719327351476,0.2870512439290316
ex26,0.30380952380952375,0.33833333333333326,0.016111111111111076,0.14699724517906343,0.160503144654088,0.17498783454987843,0.03452380952380951,0.2876984126984127,0.4508067689885872,0.14330637915543576,0.4787973583594022,0.3222222222222222,0.4853305785123967,0.17783018867924527,0.5133211678832117,0.1631083562901745,0.14439203354297692,0.1910989456609895,0.3075003898331514,0.027990589370815,0.3354909792039664
ex27,0.2037969219530822,0.0029935404506183927,0.01834253707275013,0.04852614015572859,0.16345850707559795,0.10912535581184762,0.20679046240370058,0.18545438488033206,0.2523230621088108,0.04033841487748424,0.3129222777649298,0.021336077523368524,0.0455325997051102,0.16645204752621634,0.10613181536122923,0.06686867722847872,0.14511597000284782,0.12746789288459776,0.21198464723132654,0.06059921565611903,0.27258386288744557
ex28,0.1905959010182962,0.0,0.05272819067847939,0.048611241665025784,0.08665069630394254,0.09083756343998822,0.1905959010182962,0.2433240916967756,0.239207142683322,0.10394520471435367,0.28143346445828443,0.05272819067847939,0.048611241665025784,0.08665069630394254,0.09083756343998822,0.004116949013453608,0.13937888698242193,0.03810937276150883,0.13526193796896832,0.04222632177496244,0.17748825974393076
ex29,0.0990675990675991,0.03846153846153849,0.2825261158594492,0.4328028293545535,0.3434369162845984,0.437193892250072,0.06060606060606061,0.3815937149270483,0.5318704284221526,0.4425045153521975,0.5362614913176711,0.3209876543209877,0.471264367816092,0.3818984547461369,0.4756554307116105,0.1502767134951043,0.06091080042514918,0.1546677763906228,0.08936591306995512,0.004391062895518494,0.09375697596547361
