aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex84,55,0,0,95,43,141,55,55,150,12,196,0,95,43,141,95,43,141,138,46,184
ex85,74,0,24,86,53,118,74,98,160,21,192,24,86,53,118,62,77,94,139,32,171
ex86,7,6,10,4,0,16,1,17,11,7,23,16,10,6,22,6,10,6,4,12,16
ex88,96,1,3,131,76,126,95,99,227,20,222,4,132,75,127,128,79,123,207,5,202
ex89,7,2,0,19,10,31,5,7,26,17,38,2,21,12,33,19,10,31,9,12,21
ex90,33,29,74,14,36,23,4,107,47,3,56,103,43,7,52,60,110,51,50,9,59
ex91,67,0,10,74,47,158,67,57,141,20,225,10,74,47,158,84,37,168,121,84,205
ex92,54,0,114,73,23,97,54,168,127,31,151,114,73,23,97,41,137,17,96,24,120
ex93,37,0,6,5,28,29,37,31,42,9,66,6,5,28,29,11,22,35,33,24,57
ex94,8,1,37,17,7,28,7,45,25,15,36,38,18,8,29,20,30,9,10,11,21
ex96,22,0,38,83,37,254,22,16,61,15,232,38,83,37,254,45,1,216,46,171,217
ex97,94,0,35,42,84,84,94,59,136,10,178,35,42,84,84,77,49,119,126,42,168
ex98,74,0,39,89,79,124,74,113,163,5,198,39,89,79,124,50,118,85,168,35,203
ex99,25,0,10,3,30,2,25,15,28,5,23,10,3,30,2,13,20,8,33,5,28
