aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,0.13964746772591857,0.0,0.03935618608670603,0.008945998698763835,0.05371540187848059,0.028823886716525582,0.13964746772591857,0.10029128163921253,0.1485934664246824,0.08593206584743798,0.16847135444244415,0.03935618608670603,0.008945998698763835,0.05371540187848059,0.028823886716525582,0.04830218478546987,0.014359215791774557,0.06818007280323161,0.06266140057724442,0.019877888017761747,0.08253928859500617
ex02,0.5065733672603902,0.0,0.36855480039064836,0.3069263958742884,0.46560114503816796,0.32438673222678005,0.5065733672603902,0.1380185668697418,0.19964697138610182,0.04097222222222223,0.1821866350336101,0.36855480039064836,0.3069263958742884,0.46560114503816796,0.32438673222678005,0.06162840451636001,0.09704634464751957,0.04416806816386831,0.15867474916387958,0.017460336352491695,0.14121441281138788
ex03,0.0,0.0,0.047619047619047616,0.03225806451612903,0.14285714285714285,0.16129032258064516,0.0,0.047619047619047616,0.03225806451612903,0.14285714285714285,0.16129032258064516,0.047619047619047616,0.03225806451612903,0.14285714285714285,0.16129032258064516,0.015360983102918585,0.09523809523809523,0.11367127496159754,0.11059907834101382,0.12903225806451613,0.018433179723502308
ex04,0.055308829544790515,0.0,0.031211907358696354,0.02471306807514674,0.001974471479856396,0.037372338584040155,0.055308829544790515,0.02409692218609416,0.08002189761993725,0.05728330102464691,0.09268116812883068,0.031211907358696354,0.02471306807514674,0.001974471479856396,0.037372338584040155,0.055924975433843095,0.03318637883855275,0.06858424594273652,0.022738596595290345,0.012659270508893414,0.03539786710418376
ex05,0.01693212447929429,0.003246753246753248,0.057183441558441565,0.10864704915337828,0.003056943056943054,0.12253291951667822,0.02017887772604754,0.07411556603773586,0.12557917363267257,0.013875181422351238,0.1394650439959725,0.05393668831168832,0.10540029590662503,0.006303696303696302,0.11928616626992497,0.051463607594936706,0.06024038461538462,0.06534947795823665,0.11170399221032132,0.01388587036329994,0.12558986257362126
ex06,0.06695746952968483,0.0,0.031377949938408936,0.027629569183771685,0.06990672026058023,0.09794295347758172,0.06695746952968483,0.09833541946809377,0.09458703871345651,0.0029492507308953933,0.16490042300726657,0.031377949938408936,0.027629569183771685,0.06990672026058023,0.09794295347758172,0.003748380754637251,0.10128467019898917,0.06656500353917279,0.09753628944435191,0.07031338429381004,0.16784967373816195
ex08,0.008304195804195807,0.0,0.16265212981744423,0.005952380952380959,0.027369281045751648,0.027806122448979592,0.008304195804195807,0.17095632562164004,0.014256576756576766,0.035673476849947455,0.019501926644783785,0.16265212981744423,0.005952380952380959,0.027369281045751648,0.027806122448979592,0.15669974886506327,0.13528284877169258,0.19045825226642382,0.02141690009337069,0.03375850340136055,0.05517540349473124
ex09,0.048222514812376556,0.0,0.0022101416986008426,0.03873771730914588,0.04163265306122448,0.02075303282346737,0.048222514812376556,0.0504326565109774,0.08696023212152243,0.0065898617511520735,0.06897554763584393,0.0022101416986008426,0.03873771730914588,0.04163265306122448,0.02075303282346737,0.03652757561054504,0.043842794759825325,0.018542891124866526,0.08037037037037037,0.017984684485678512,0.06238568588469185
ex10,0.04090909090909091,0.0,0.0,0.12138141188420518,0.087173100871731,0.09790209790209789,0.04090909090909091,0.04090909090909091,0.1622905027932961,0.12808219178082192,0.1388111888111888,0.0,0.12138141188420518,0.087173100871731,0.09790209790209789,0.12138141188420518,0.087173100871731,0.09790209790209789,0.03420831101247418,0.023479313982107286,0.010728997030366894
ex12,0.07073404569979296,0.0006280499423472058,0.0036894641107318576,0.149058291197736,0.013002539537793525,0.1925492760336684,0.07010599575744575,0.07442350981052481,0.21979233689752897,0.05773150616199943,0.26328332173346136,0.0043175140530790634,0.14968634114008322,0.01237448959544632,0.1931773259760156,0.14536882708700416,0.016692003648525383,0.18885981192293655,0.16206083073552952,0.04349098483593239,0.2055518155714619
ex13,0.024999999999999994,0.026595744680851074,0.27813852813852813,0.008964143426294813,0.11746987951807228,0.06679389312977096,0.05159574468085107,0.30313852813852815,0.03396414342629481,0.09246987951807228,0.09179389312977096,0.25154278345767705,0.01763160125455626,0.14406562419892335,0.04019814844891989,0.2691743847122333,0.39560840765660044,0.21134463500875716,0.1264340229443671,0.05782974970347615,0.18426377264784324
